2024-12-18 11:08:22.810 INFO  (qtp1792384402-47-localhost-15) [c: s: r: x:babysitter_core t:localhost-15] o.a.s.c.S.Request webapp=/solr path=/select params={q=name:babysitter*+OR+description:*babysitter*+OR+age:*babysitter*+OR+salary:*babysitter*++OR+name:lugano*+OR+description:*lugano*+OR+age:*lugano*+OR+salary:*lugano*+&rows=1000&wt=json} hits=71 status=0 QTime=6
2024-12-18 11:08:22.823 INFO  (qtp1792384402-82-localhost-16) [c: s: r: x:babysitter_core t:localhost-16] o.a.s.c.S.Request webapp=/solr path=/select params={q=name:babysitter*+OR+description:*babysitter*+OR+age:*babysitter*+OR+salary:*babysitter*++OR+name:lugano*+OR+description:*lugano*+OR+age:*lugano*+OR+salary:*lugano*+&rows=1000&wt=json} hits=71 status=0 QTime=8
2024-12-18 11:08:22.831 INFO  (qtp1792384402-47-localhost-17) [c: s: r: x:babysitter_core t:localhost-17] o.a.s.c.S.Request webapp=/solr path=/select params={q=age:[31+TO+37]+AND+salary:[18+TO+24]&rows=3&wt=json} hits=14 status=0 QTime=1
2024-12-18 11:08:24.309 INFO  (qtp1792384402-82-localhost-18) [c: s: r: x:babysitter_core t:localhost-18] o.a.s.c.S.Request webapp=/solr path=/select params={q=name:babysitter*+OR+description:*babysitter*+OR+age:*babysitter*+OR+salary:*babysitter*++OR+name:lugano*+OR+description:*lugano*+OR+age:*lugano*+OR+salary:*lugano*+&rows=1000&wt=json} hits=71 status=0 QTime=4
2024-12-18 11:08:24.319 INFO  (qtp1792384402-47-localhost-19) [c: s: r: x:babysitter_core t:localhost-19] o.a.s.c.S.Request webapp=/solr path=/select params={q=name:babysitter*+OR+description:*babysitter*+OR+age:*babysitter*+OR+salary:*babysitter*++OR+name:lugano*+OR+description:*lugano*+OR+age:*lugano*+OR+salary:*lugano*+&rows=1000&wt=json} hits=71 status=0 QTime=5
2024-12-18 11:08:24.326 INFO  (qtp1792384402-82-localhost-20) [c: s: r: x:babysitter_core t:localhost-20] o.a.s.c.S.Request webapp=/solr path=/select params={q=age:[29+TO+35]+AND+salary:[18+TO+24]&rows=3&wt=json} hits=17 status=0 QTime=0
2024-12-18 11:08:28.674 INFO  (qtp1792384402-47-localhost-21) [c: s: r: x:babysitter_core t:localhost-21] o.a.s.c.S.Request webapp=/solr path=/select params={q=name:babysitter*+OR+description:*babysitter*+OR+age:*babysitter*+OR+salary:*babysitter*++OR+name:lugano*+OR+description:*lugano*+OR+age:*lugano*+OR+salary:*lugano*+&rows=1000&wt=json} hits=71 status=0 QTime=7
2024-12-18 11:08:28.684 INFO  (qtp1792384402-82-localhost-22) [c: s: r: x:babysitter_core t:localhost-22] o.a.s.c.S.Request webapp=/solr path=/select params={q=name:babysitter*+OR+description:*babysitter*+OR+age:*babysitter*+OR+salary:*babysitter*++OR+name:lugano*+OR+description:*lugano*+OR+age:*lugano*+OR+salary:*lugano*+&rows=1000&wt=json} hits=71 status=0 QTime=4
2024-12-18 11:08:28.689 INFO  (qtp1792384402-47-localhost-23) [c: s: r: x:babysitter_core t:localhost-23] o.a.s.c.S.Request webapp=/solr path=/select params={q=age:[31+TO+37]+AND+salary:[18+TO+24]&rows=3&wt=json} hits=14 status=0 QTime=0
2024-12-18 11:08:29.881 INFO  (qtp1792384402-82-localhost-24) [c: s: r: x:babysitter_core t:localhost-24] o.a.s.c.S.Request webapp=/solr path=/select params={q=name:babysitter*+OR+description:*babysitter*+OR+age:*babysitter*+OR+salary:*babysitter*++OR+name:lugano*+OR+description:*lugano*+OR+age:*lugano*+OR+salary:*lugano*+&rows=1000&wt=json} hits=71 status=0 QTime=3
2024-12-18 11:08:29.892 INFO  (qtp1792384402-47-localhost-25) [c: s: r: x:babysitter_core t:localhost-25] o.a.s.c.S.Request webapp=/solr path=/select params={q=name:babysitter*+OR+description:*babysitter*+OR+age:*babysitter*+OR+salary:*babysitter*++OR+name:lugano*+OR+description:*lugano*+OR+age:*lugano*+OR+salary:*lugano*+&rows=1000&wt=json} hits=71 status=0 QTime=6
2024-12-18 11:08:29.898 INFO  (qtp1792384402-82-localhost-26) [c: s: r: x:babysitter_core t:localhost-26] o.a.s.c.S.Request webapp=/solr path=/select params={q=age:[31+TO+37]+AND+salary:[18+TO+24]&rows=3&wt=json} hits=14 status=0 QTime=0
2024-12-18 11:08:38.099 INFO  (qtp1792384402-51-localhost-27) [c: s: r: x:babysitter_core t:localhost-27] o.a.s.c.S.Request webapp=/solr path=/select params={q=name:babysitter*+OR+description:*babysitter*+OR+age:*babysitter*+OR+salary:*babysitter*++OR+name:lugano*+OR+description:*lugano*+OR+age:*lugano*+OR+salary:*lugano*+&rows=1000&wt=json} hits=71 status=0 QTime=5
2024-12-18 11:08:38.111 INFO  (qtp1792384402-47-localhost-28) [c: s: r: x:babysitter_core t:localhost-28] o.a.s.c.S.Request webapp=/solr path=/select params={q=name:babysitter*+OR+description:*babysitter*+OR+age:*babysitter*+OR+salary:*babysitter*++OR+name:lugano*+OR+description:*lugano*+OR+age:*lugano*+OR+salary:*lugano*+&rows=1000&wt=json} hits=71 status=0 QTime=6
2024-12-18 11:08:38.117 INFO  (qtp1792384402-48-localhost-29) [c: s: r: x:babysitter_core t:localhost-29] o.a.s.c.S.Request webapp=/solr path=/select params={q=age:[31+TO+37]+AND+salary:[18+TO+24]&rows=3&wt=json} hits=14 status=0 QTime=0
2024-12-18 11:08:39.713 INFO  (qtp1792384402-47-localhost-30) [c: s: r: x:babysitter_core t:localhost-30] o.a.s.c.S.Request webapp=/solr path=/select params={q=name:babysitter*+OR+description:*babysitter*+OR+age:*babysitter*+OR+salary:*babysitter*++OR+name:lugano*+OR+description:*lugano*+OR+age:*lugano*+OR+salary:*lugano*+&rows=1000&wt=json} hits=71 status=0 QTime=5
2024-12-18 11:08:39.723 INFO  (qtp1792384402-48-localhost-31) [c: s: r: x:babysitter_core t:localhost-31] o.a.s.c.S.Request webapp=/solr path=/select params={q=name:babysitter*+OR+description:*babysitter*+OR+age:*babysitter*+OR+salary:*babysitter*++OR+name:lugano*+OR+description:*lugano*+OR+age:*lugano*+OR+salary:*lugano*+&rows=1000&wt=json} hits=71 status=0 QTime=4
2024-12-18 11:08:39.730 INFO  (qtp1792384402-47-localhost-32) [c: s: r: x:babysitter_core t:localhost-32] o.a.s.c.S.Request webapp=/solr path=/select params={q=age:[31+TO+37]+AND+salary:[18+TO+24]&rows=3&wt=json} hits=14 status=0 QTime=1
